unspsc,root_domain,page_url,product_title,brand,eco_friendly,merged_description,product_identifier,intended_industries,applicability,ethical_and_sustainability_practices,materials,ingredients,manufacturing_countries,manufacturing_type,customization,packaging_type,form,quality_standards_and_certifications,miscellaneous_features,production_capacity,price,size,color,purity,energy_efficiency,pressure_rating,power_rating
Screws,cecofasteners.com,https://www.cecofasteners.com/products/sd-12-x-1-5-16-head-job-pack-case?pr_prod_strat=e5_desc&pr_rec_id=1beb5ac47&pr_rec_pid=7248499146935&pr_ref_pid=7248499212471&pr_seq=uniform,12 X 1 (5/16 Head) - Job Pack Case (SD) - 10K,CECO Fasteners,,"The 12 X 1 (5/16 Head) - Job Pack Case (SD) - 10K is a specialized fastening solution designed for various applications requiring precise and reliable fastening. This product is manufactured by CECO Fasteners and is identified by the product number #12 X 1 Self Drill Screw 5/16 Inch Hex Head. Each job pack contains 14 packs, with each pack containing 250 fasteners, making a total of 3,500 fasteners per case. The regular and sale price for this product is $201.25 per case. The fasteners are designed with a 12 x 1 (5/16 Head) size, featuring a 5/16 inch hex head, which is suitable for specific fastening needs. The product is sold in a job pack case, ensuring that users have a sufficient quantity for their projects. The fasteners are sold out at the moment, indicating their popularity and demand. This product is ideal for industries that require durable and reliable fasteners, such as construction, automotive, and manufacturing. The packaging type is a job pack case, which facilitates easy handling and storage. The product is currently sold out, indicating its high demand and popularity.",['Part_Number: #12 X 1 Self Drill Screw 5/16 Inch Hex Head'],"['Automotive', 'Manufacturing', 'Construction']",['Fastening'],[],[],[],[],[],[],['Job pack cases'],[],[],"['Totaling 3,500 fasteners per case', 'Sold in a job pack case', 'Each pack contains 250 fasteners', 'Sold Out', 'Self-drilling capability']",[],"[{'amount': 201.25, 'currency': 'USD', 'type': 'exact'}]","[{'dimension': 'Length', 'qualitative': False, 'type': 'exact', 'unit': 'in', 'value': '12'}, {'dimension': 'Width', 'qualitative': False, 'type': 'exact', 'unit': 'in', 'value': '1'}]",[],[],[],[],[]
Electrical lugs plugs and connectors,diodedrive.com,https://www.diodedrive.com/accessories/installation-supplies/wire_clamp-push_on_connector-shrink_tube-snap_spade,12-10 AWG 1/4in Flanged Block Spade - 12-10 AWG,,,"The ""Flanged Block Spade"" is a flanged block spade designed for securing and reliably connecting electrical components, featuring a 1/4in flange suitable for 12-10 AWG applications.",[],"['Construction', 'Electrical']","['Electrical Connections', 'electrical connections']",[],[],[],[],[],[],[],[],[],"['Flanged Block Spade', 'Secure and Reliable Connection']",[],"[{'amount': 0.20999999344348907, 'currency': 'USD', 'type': 'exact'}]","[{'dimension': 'Diameter', 'qualitative': False, 'type': 'exact', 'unit': 'in', 'value': '0.25'}]",[],[],[],[],[]
Exterior lighting fixtures and accessories,lightningauto.co.nz,https://lightningauto.co.nz/products/120w-led-light-work-light-bar-22?pr_prod_strat=e5_desc&pr_rec_id=797f75138&pr_rec_pid=6548839006401&pr_ref_pid=6548817707201&pr_seq=uniform,120W 22 Inch LED Light/ Work Light Bar,,,"The 120W 22 Inch LED Light/ Work Light Bar is a versatile and robust lighting solution designed for various applications, including trucks, boats, 4WD, 4x4, and off-road vehicles. This work light bar is equipped with a 120W LED light source and features a diecast aluminum housing, ensuring durability and longevity. It operates on both 12V and 24V vehicle systems, making it compatible with a wide range of vehicles. The light bar has a color temperature of 6000K, providing a bright and efficient illumination. It is shockproof and waterproof with an IP67 rating, making it suitable for harsh environments. The working temperature range is from -40 to +80 degrees Celsius, and it boasts a working life of over 30,000 hours, ensuring long-term reliability. The package includes one spot flood combo work LED light, two mounting brackets, and a wiring kit that includes a relay and switch, available for an additional $25. The product is priced at $80.00, down from its regular price of $94.99. This LED light bar is ideal for use as a flood light or off-road light, offering a combination of power and durability.",[],"['Automotive', 'Outdoor & Recreation']","['4WD lighting', 'lighting in trucks', 'boat lighting', 'lighting in 4WD', 'lighting in boats', 'lighting in off-road vehicles', 'truck lighting', 'off-road lighting']",[],['Diecast Aluminum'],[],[],[],[],[],[],[],"['Working temperature range from -40 to +80 degrees Celsius', 'Shockproof', 'Working life: over 30,000 hours', 'IP67 shockproof rating', 'Waterproof with IP67 rating', 'Working temperature range: -40 to +80 degrees Celsius', 'Working life over 30,000 hours']",[],"[{'amount': 80.0, 'currency': 'USD', 'type': 'min'}, {'amount': 94.98999786376953, 'currency': 'USD', 'type': 'max'}, {'amount': 94.9990005493164, 'currency': 'USD', 'type': 'max'}]","[{'dimension': 'Length', 'qualitative': False, 'type': 'exact', 'unit': 'in', 'value': '22'}]",[],[],[],[],"[{'qualitative': False, 'type': 'exact', 'unit': 'W', 'value': '120.0'}]"
Surveillance and detection equipment,visionxp.in,https://www.visionxp.in/page/cctv-security-ip-camera-manufacturers-in-vadnagar,128ch NVR,VisionXP,,"The ""Network Video Recorder"" manufactured by VisionXP in Singanpor, Surat, is a 128-channel network video recorder designed for use in surveillance systems, particularly in public safety and corporate settings.",[],"['Security', 'Public Safety', 'Corporate']","['surveillance systems', 'surveillance video management']",[],[],[],['IN'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
Surgical implants and expanders and extenders and surgical wires and related products,shopshatkinfirst.com,https://shopshatkinfirst.com/collections/all/implant-length_17mm+implant-diameter_3-3mm+course-type_advanced-course,13mm Implant,,,The 13mm Implant is a Mono Implant designed for advanced dental procedures. It is part of the Shatkin F.I.R.S.T.® collection and is suitable for advanced dental courses.,[],['Healthcare'],"['dental procedures', 'Advanced Course Type Applications']",[],[],[],[],[],[],[],[],[],"['advanced course type applications', 'Mono Implant', 'Part of the Shatkin F.I.R.S.T. collection']",[],[],"[{'dimension': 'Length', 'qualitative': False, 'type': 'exact', 'unit': 'mm', 'value': '13'}, {'dimension': 'Diameter', 'qualitative': False, 'type': 'exact', 'unit': 'mm', 'value': '13'}]",[],[],[],[],[]
Filters,filtersmesh.com,https://www.filtersmesh.com/150-micron-polypropylene-felt-liquid-filter-bagsewnplastic-x-flange-ring-size-5-150560mm/,150 Micron Polypropylene Felt Liquid Filter Bag,,,"The 150 Micron Polypropylene Felt Liquid Filter Bag is a specialized filtration product designed for applications requiring high solid loading capacity. This liquid filter bag is constructed from polypropylene felt and features a welded seam type, ensuring durability and reliability in various industrial settings. The bag measures 180mm in diameter and 810mm in length, with a 150-micron micron rating, making it suitable for a range of industries including chemical, food, paper, petroleum, and adhesives. The product is equipped with a plastic ""G"" flange ring, which enhances its compatibility and ease of use in filtration systems. The polypropylene material is treated with a glazed finish to minimize fiber migration, ensuring a high level of filtration efficiency. The bag is available in both nylon and polyester materials, with the latter being treated with a glazed finish to reduce fiber shedding. The 150 Micron Polypropylene Felt Liquid Filter Bag meets FDA regulations for food contact under CFR 21, Section 177.1520, and is suitable for high flow and low pressure drop applications. It is available in various sizes, including #1, #2, #3, #4, and #5 plastic flanges, and can be customized to meet specific requirements. The product is designed to handle temperatures up to 200°F (PO), 275°F (PE), 425°F (HT), and 500°F (Teflon®), making it versatile for different operational environments. The bag's construction includes no needle holes, which increases efficiency by preventing bypass and reducing the possibility of fiber shedding. This product is ideal for industries that require reliable and efficient liquid filtration solutions.",[],"['Petroleum', 'Adhesives', 'Paints', 'Paper', 'Chemical', 'Food', 'Industrial']",['Filtration'],[],"['Nylon', 'Polyester', 'Polypropylene']",[],[],[],['Customizable to meet specific requirements'],[],[],['FDA'],"['Treated with a glazed finish to reduce fiber migration', ""Plastic 'G' Flange Ring"", 'No Needle Holes', 'Compatible with FDA regulations for food contact under CFR 21, Section 177.1520', ""Sewn with a plastic 'X' flange ring"", 'Available in both welded and fully-welded constructions', 'Glazed Finish', 'Welded Seam Type']",[],[],"[{'dimension': 'Diameter', 'qualitative': False, 'type': 'exact', 'unit': 'mm', 'value': '180'}, {'dimension': 'Length', 'qualitative': False, 'type': 'exact', 'unit': 'mm', 'value': '810'}, {'dimension': 'Diameter', 'qualitative': False, 'type': 'min', 'unit': 'mm', 'value': '5'}, {'dimension': 'Diameter', 'qualitative': False, 'type': 'max', 'unit': 'mm', 'value': '150'}, {'dimension': 'Length', 'qualitative': False, 'type': 'exact', 'unit': 'mm', 'value': '560'}]",[],[],[],"[{'qualitative': True, 'type': 'exact', 'unit': None, 'value': 'low'}]",[]
Valves,advancedpressuresystems.ca,https://advancedpressuresystems.ca/collections/control-guns/zero-thrust-style-control-gun+high-flow-air-diverter-valve,"15K 1"" Air Diverter Valve",,,"The ""15K 1\"" Air Diverter Valve"" is designed for water blasting operations, featuring a 15K size and a 1"" size. It is suitable for various applications that require precise control.",[],['Manufacturing'],"['Controlling Air Flow In Water Blasting Operations', 'water blasting operations']",[],[],[],[],[],[],[],[],[],[],[],[],"[{'dimension': 'Diameter', 'qualitative': False, 'type': 'exact', 'unit': 'in', 'value': '1'}]",[],[],[],[],[]
Hardware and fittings,advancedpressuresystems.ca,https://advancedpressuresystems.ca/collections/surface-nozzles/ss-fan-tip-mnpt-nozzles+tc+10k-dplm-pineapple-line-mole-nozzles,"15K 1/4"" Meg MNPT Hard Hitter Nozzles",,,"""15K 1/4\"" Meg MNPT Hard Hitter Nozzles"" are high-performance water blasting nozzles designed for industrial applications. These nozzles, made from stainless steel, feature meg MNPT hard hitter designs and are suitable for use with 1/4\"" NPT threads. They are available in various pressure ratings, including 15K psi, ensuring efficient performance in demanding industrial environments.",[],['Industrial'],"['High-Pressure Water Blasting', 'Water Blasting']",[],['Stainless Steel'],[],[],[],[],[],[],[],"['Stainless Steel Construction', 'Meg MNPT Hard Hitter Designs']",[],[],[],[],[],[],"[{'qualitative': False, 'type': 'exact', 'unit': 'psi', 'value': '15000.0'}, {'qualitative': False, 'type': 'exact', 'unit': 'kPa', 'value': '15000.0'}]",[]
Metal treatment fixtures and tooling|Welding and soldering and brazing accessories,advancedpressuresystems.ca,https://advancedpressuresystems.ca/collections/surface-nozzles/ss-fan-tip-mnpt-nozzles+tc+dplm-pineapple,"15K 1/4"" Tungsten Carbide Line Mole Nozzle Inserts",,,"The ""15K 1/4\"" Tungsten Carbide Line Mole Nozzle Inserts"" are designed for efficient sand removal, featuring a 15K 1/4"" connection. These inserts are part of a surface nozzles collection, available in various pressure ratings and sizes to suit different operational needs.",[],"['Manufacturing', 'Construction']","['Sand removal', 'Water Blasting Applications']",[],['Tungsten Carbide'],[],[],[],[],[],[],[],"['Enhanced durability', '15K 1/4\\"" connection']",[],[],[],[],[],[],"[{'qualitative': True, 'type': 'exact', 'unit': None, 'value': 'high'}]",[]
Pneumatic tools,advancedpressuresystems.ca,https://advancedpressuresystems.ca/collections/control-guns/zero-thrust-style-control-gun+adjustable-handle,15K Air Actuated Control Gun,,,The 15K Air Actuated Control Gun is a high-performance control gun designed for precise water blasting operations. It features air actuation for reliable and consistent performance.,[],['Manufacturing'],"['Water Blasting', 'water blasting operations']",[],[],[],[],[],[],[],[],[],['air actuation'],[],[],[],[],[],[],[],[]
Valves,advancedpressuresystems.ca,https://advancedpressuresystems.ca/collections/control-guns/high-flow-air-diverter-valve+22k-hand-held-double-dump-style-control-gun,15K Air Actuated Diverter Valve,,,The 15K Air Actuated Diverter Valve is a high-pressure air diverter valve designed for water blasting operations. It features an air actuation mechanism and is suitable for various high-pressure applications. This valve is ideal for use in industries requiring precise and efficient control of air flow.,[],"['High Power Applications', 'Manufacturing', 'Industrial']","['High-Pressure Applications', 'air flow control', 'Controlling Air Flow In Water Blasting', 'water blasting operations']",[],[],[],[],[],[],[],[],[],"['air actuated', 'air actuation mechanism', 'precise control']",[],[],"[{'dimension': None, 'qualitative': True, 'type': 'exact', 'unit': None, 'value': '15K'}]",[],[],[],"[{'qualitative': True, 'type': 'exact', 'unit': None, 'value': 'high'}, {'qualitative': False, 'type': 'exact', 'unit': 'psi', 'value': '15000.0'}]","[{'qualitative': True, 'type': 'exact', 'unit': None, 'value': 'high'}]"
